parameter,value,is_nominal,scenario,n_runs,alarm_dropped_rate_mean,alarm_dropped_rate_ci_lower,alarm_dropped_rate_ci_upper,legitimate_alarm_dropped_rate_mean,legitimate_alarm_dropped_rate_ci_lower,legitimate_alarm_dropped_rate_ci_upper,legitimate_alarm_n,abnormal_alarm_dropped_rate_mean,alarm_avg_latency_mean,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,background_wait_mean_mean,background_wait_mean_ci_lower,background_wait_mean_ci_upper,activation_churn_mean,activation_churn_ci_lower,activation_churn_ci_upper,stable,expected_drop_floor
alarm_limit_budget,15.0,1,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_limit_budget,20.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.09090909090909094
alarm_limit_budget,30.0,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.0
alarm_limit_budget,3.0,0,alarm_malfunction_surge,20,0.77,0.7685297775255066,0.7714702224744935,0.55,0.5105497912598148,0.5894502087401853,20.0,0.781578947368421,0.0621686414290407,0.03709137566723211,0.08724590719084929,0.0,nan,nan,9.0,nan,nan,0,0.85
alarm_limit_budget,5.0,0,alarm_malfunction_surge,20,0.681875,0.6804109162682864,0.6833390837317136,0.36,0.3140687815803055,0.4059312184196945,20.0,0.6988157894736842,0.052939363309067254,0.03439227123983776,0.07148645537829675,0.0,nan,nan,9.0,nan,nan,0,0.75
alarm_limit_budget,8.0,0,alarm_malfunction_surge,20,0.5530000000000002,0.550408624275255,0.5555913757247453,0.07500000000000001,0.05159927967900403,0.09840072032099599,20.0,0.5781578947368421,0.04980658033074851,0.03620077237587589,0.06341238828562112,0.0,nan,nan,9.0,nan,nan,0,0.6
alarm_limit_budget,10.0,0,alarm_malfunction_surge,20,0.516875,0.513546642313679,0.520203357686321,0.0,nan,nan,20.0,0.5440789473684211,0.051978894506580796,0.038870266885753735,0.06508752212740786,0.0,nan,nan,9.0,nan,nan,1,0.5
alarm_limit_budget,15.0,1,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_limit_budget,20.0,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.0
alarm_limit_budget,30.0,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.0
alarm_limit_budget,3.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_limit_budget,5.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_limit_budget,8.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_limit_budget,10.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
