test_name,sweep_param,sweep_value,scheduler,alarm_latency,alarm_p95,band_0_fairness,band_1_fairness,band_2_fairness,band_3_fairness,runtime
device_scalability,device_count,50,fifo,,3.4142837353832385,0.9996866874610455,0.7267329678964791,0.7605898631659895,0.7859257422604302,0.0015883445739746094
device_scalability,device_count,50,wfq,,1.8695647372399553,0.9974708475758834,0.7623130848856453,0.964563325073034,0.9865824389830248,0.0021431446075439453
device_scalability,device_count,50,drr,,3.4142837353832385,0.999416230321333,0.7264372877196549,0.7605898631659895,0.7858811353278106,0.002160310745239258
device_scalability,device_count,50,tbp,,8.123977831067341,0.9996952189536064,0.7406204939919202,0.9626894535710331,0.9591490240896609,0.002495288848876953
device_scalability,device_count,100,triage4,,0.09439837596043987,0.841090113166583,0.7399620557380443,0.9662162253374185,0.934003831820387,0.004456043243408203
device_scalability,device_count,100,strict,,4.1711696857592955,0.98182428231395,0.7589740741132845,0.9650071518871439,0.9897224574388644,0.002111196517944336
device_scalability,device_count,100,fifo,,4.1711696857592955,0.98182428231395,0.7398322011872792,0.7567003367667832,0.7717434172924312,0.0017504692077636719
device_scalability,device_count,100,wfq,,4.1711696857592955,0.98182428231395,0.7589740741132845,0.9650071518871439,0.9897224574388644,0.0023488998413085938
device_scalability,device_count,100,drr,,4.1711696857592955,0.98182428231395,0.7398322011872792,0.7567003367667832,0.7717434172924312,0.0023238658905029297
device_scalability,device_count,100,tbp,,14.402409036884897,0.9971400543881597,0.7405023143694981,0.9668730517112344,0.9575625857140246,0.002618551254272461
device_scalability,device_count,200,triage4,,0.10070264898233519,0.8274607842759021,0.7562469028582497,0.9530807039134503,0.9091506663156765,0.005006551742553711
device_scalability,device_count,200,strict,,9.315859180561127,0.9946216603368051,0.7139914388639196,0.9640870640039313,0.9878785398225309,0.002413034439086914
device_scalability,device_count,200,fifo,,9.315859180561127,0.9946216603368051,0.7355684189064405,0.741842794721464,0.7499042180446783,0.0020999908447265625
device_scalability,device_count,200,wfq,,9.315859180561127,0.9946216603368051,0.7139914388639196,0.9640870640039313,0.9878785398225309,0.0026230812072753906
device_scalability,device_count,200,drr,,9.315859180561127,0.9946216603368051,0.7355684189064405,0.741842794721464,0.7499042180446783,0.0026569366455078125
device_scalability,device_count,200,tbp,,24.72381499755573,0.9999436735093058,0.7393800459061636,0.9494676181922824,0.9210381089691558,0.0029516220092773438
device_scalability,device_count,500,triage4,,0.06422258381993276,0.7452206827406346,0.7517489365043398,0.9369975547314209,0.9073979194909187,0.005453586578369141
device_scalability,device_count,500,strict,,21.966766857700453,0.9788901547341463,0.7370852612064498,0.9652055399660394,0.9870552477725761,0.003355741500854492
device_scalability,device_count,500,fifo,,21.966766857700453,0.9788901547341463,0.7428485565916961,0.7462544056863804,0.7485742386945684,0.0031785964965820312
device_scalability,device_count,500,wfq,,21.966766857700453,0.9788901547341463,0.7370852612064498,0.9652055399660394,0.9870552477725761,0.003533601760864258
device_scalability,device_count,500,drr,,21.966766857700453,0.9788901547341463,0.7428485565916961,0.7462544056863804,0.7485742386945684,0.0035855770111083984
device_scalability,device_count,500,tbp,,41.296756889495626,0.9968152432109847,0.7517608654003849,0.9321931351249537,0.9048154531203833,0.003679990768432617
alarm_rate,alarm_ratio,0.01,triage4,0.025781849496791267,,0.7440595625552144,0.9382867158722954,0.9205971736818739,0.9357207581389778,
alarm_rate,alarm_ratio,0.01,strict,0.10626659110324176,,0.8546926972287338,0.9397870108314446,0.980896265281318,0.8285126632611636,
alarm_rate,alarm_ratio,0.01,fifo,0.07800919353834601,,0.9385006713753812,0.9880001278394837,0.98059946370573,0.9907324818474448,
alarm_rate,alarm_ratio,0.01,wfq,0.04455494283445876,,0.8673468699306421,0.8115889301127949,0.6946227069379098,0.7034305895091968,
alarm_rate,alarm_ratio,0.01,drr,0.07800919353834601,,0.9385006713753812,0.9880001278394837,0.98059946370573,0.9907324818474448,
alarm_rate,alarm_ratio,0.01,tbp,1.9207536720700402,,0.9935266676479729,0.9521012892516422,0.9692350816225058,0.9987250599239845,
alarm_rate,alarm_ratio,0.02,triage4,0.055798431788595435,,0.6339725314053738,0.9525216086556187,0.928107819547773,0.9540214976391856,
alarm_rate,alarm_ratio,0.02,strict,0.12364569439195179,,0.8210004505241858,0.9323572559093442,0.8533733662366738,0.7477424738414241,
