parameter,value,is_nominal,scenario,n_runs,alarm_dropped_rate_mean,alarm_dropped_rate_ci_lower,alarm_dropped_rate_ci_upper,alarm_avg_latency_mean,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,background_wait_mean_mean,background_wait_mean_ci_lower,background_wait_mean_ci_upper,activation_churn_mean,activation_churn_ci_lower,activation_churn_ci_upper,stable,expected_drop_floor
alarm_deactivation_threshold,5.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_limit_budget,3.0,0,alarm_flood_attack,20,0.5,nan,nan,0.09249691106644711,0.06762726611466403,0.11736655601823019,0.0,nan,nan,1.0,nan,nan,1,0.85
alarm_limit_budget,5.0,0,alarm_flood_attack,20,0.43,nan,nan,0.10271832846863944,0.07696068552521382,0.12847597141206507,0.0,nan,nan,1.0,nan,nan,1,0.75
alarm_limit_budget,8.0,0,alarm_flood_attack,20,0.32500000000000007,0.32500000000000007,0.32500000000000007,0.12308123293030833,0.0943886285968976,0.15177383726371904,0.0,nan,nan,1.0,nan,nan,1,0.6
alarm_limit_budget,10.0,0,alarm_flood_attack,20,0.255,nan,nan,0.14408090635892198,0.11205583637731129,0.17610597634053268,0.0,nan,nan,1.0,nan,nan,1,0.5
alarm_limit_budget,15.0,1,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_limit_budget,20.0,0,alarm_flood_attack,20,0.0,nan,nan,0.33880405622717824,0.2514252951666127,0.42618281728774376,0.0,nan,nan,1.0,nan,nan,1,0.0
alarm_limit_budget,30.0,0,alarm_flood_attack,20,0.0,nan,nan,0.33880405622717824,0.2514252951666127,0.42618281728774376,0.0,nan,nan,1.0,nan,nan,1,0.0
alarm_limit_budget,3.0,0,alarm_malfunction_surge,20,0.6700507614213199,0.6696653707506646,0.6704361520919753,0.06408503618066178,0.05035132763665494,0.07781874472466861,0.0,nan,nan,1.0,nan,nan,1,0.85
alarm_limit_budget,5.0,0,alarm_malfunction_surge,20,0.584010152284264,0.5831570536684885,0.5848632509000395,0.0729528107637152,0.05862338424078054,0.08728223728664984,0.0,nan,nan,1.0,nan,nan,1,0.75
alarm_limit_budget,8.0,0,alarm_malfunction_surge,20,0.4557106598984772,0.45388360731195737,0.45753771248499703,0.0919423689038618,0.07668351527152614,0.10720122253619746,0.0,nan,nan,1.0,nan,nan,1,0.6
alarm_limit_budget,10.0,0,alarm_malfunction_surge,20,0.3713197969543148,0.3686748823732312,0.37396471153539834,0.10737431601984433,0.09055268884369341,0.12419594319599525,0.0,nan,nan,1.0,nan,nan,1,0.5
alarm_limit_budget,15.0,1,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_limit_budget,20.0,0,alarm_malfunction_surge,20,0.007741116751269035,0.004744100238638423,0.010738133263899647,0.5051324828239447,0.3837153559043799,0.6265496097435096,0.0,nan,nan,1.0,nan,nan,1,0.0
alarm_limit_budget,30.0,0,alarm_malfunction_surge,20,0.0007614213197969543,-0.0003354197576287783,0.0018582623972226869,0.5418420987636701,0.41223280624495917,0.671451391282381,0.0,nan,nan,1.0,nan,nan,1,0.0
alarm_limit_budget,3.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_limit_budget,5.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_limit_budget,8.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_limit_budget,10.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_limit_budget,15.0,1,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_limit_budget,20.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_limit_budget,30.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_burst_capacity,5.0,0,alarm_flood_attack,20,0.5549999999999999,0.5549999999999999,0.5549999999999999,0.0494120959730995,0.03459284204666298,0.06423134989953602,0.0,nan,nan,1.0,nan,nan,1,0.75
alarm_burst_capacity,10.0,0,alarm_flood_attack,20,0.3550000000000001,0.35500000000000004,0.35500000000000015,0.07776512920214984,0.059202320085575126,0.09632793831872455,0.0,nan,nan,1.0,nan,nan,1,0.5
alarm_burst_capacity,15.0,0,alarm_flood_attack,20,0.17499999999999996,0.17499999999999996,0.17499999999999996,0.12631441561033876,0.1030535224486974,0.14957530877198014,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,20.0,0,alarm_flood_attack,20,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.1536650735573407,0.12272338422073804,0.18460676289394334,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,30.0,1,alarm_flood_attack,20,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,50.0,0,alarm_flood_attack,20,0.0,nan,nan,0.33880405622717824,0.2514252951666127,0.42618281728774376,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,80.0,0,alarm_flood_attack,20,0.0,nan,nan,0.33880405622717824,0.2514252951666127,0.42618281728774376,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,5.0,0,alarm_malfunction_surge,20,0.6474619289340102,0.6466088303182347,0.6483150275497858,0.03796391010533179,0.028995228516871335,0.04693259169379224,0.0,nan,nan,1.0,nan,nan,1,0.75
alarm_burst_capacity,10.0,0,alarm_malfunction_surge,20,0.4224619289340101,0.41989177476109957,0.4250320831069206,0.06580757377051152,0.05484216042680753,0.07677298711421551,0.0,nan,nan,1.0,nan,nan,1,0.5
alarm_burst_capacity,15.0,0,alarm_malfunction_surge,20,0.21307106598984768,0.20723300152097215,0.2189091304587232,0.11842778927100787,0.10441428623946938,0.13244129230254637,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,20.0,0,alarm_malfunction_surge,20,0.19010152284263962,0.1842453597430827,0.19595768594219654,0.13798931709381343,0.1199931574019028,0.15598547678572405,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,30.0,1,alarm_malfunction_surge,20,0.16434010152284262,0.15844633269411587,0.17023387035156937,0.18000779358916408,0.1507002025419828,0.20931538463634536,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,50.0,0,alarm_malfunction_surge,20,0.11357868020304569,0.10768491137431896,0.11947244903177243,0.2806717802280446,0.22185571027069256,0.3394878501853967,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,80.0,0,alarm_malfunction_surge,20,0.037436548223350255,0.03154277939462352,0.04333031705207699,0.4724938125941244,0.3595884738424391,0.5853991513458097,0.0,nan,nan,1.0,nan,nan,1,0.25
alarm_burst_capacity,5.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_burst_capacity,10.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_burst_capacity,15.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_burst_capacity,20.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_burst_capacity,30.0,1,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_burst_capacity,50.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
alarm_burst_capacity,80.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.06054921475832031,0.05035141973195931,0.07074700978468132,0.0,nan,nan,1,
